dBZ,lat,lon
37.4,22.023368254885057,-103.44581676283308
37.4,22.023368254885057,-103.4218235537936
37.4,22.018744177995888,-103.44101812102518
37.4,22.01412010110672,-103.44581676283308
37.4,22.01412010110672,-103.44101812102518
42.5,22.00949602421755,-103.44581676283308
37.4,22.00949602421755,-103.44101812102518
37.4,22.004871947328382,-103.44581676283308
37.4,22.004871947328382,-103.44101812102518
42.5,22.000247870439214,-103.44101812102518
37.4,21.995623793550045,-103.44101812102518
37.4,21.990999716660877,-103.44101812102518
34.2,21.981751562882536,-103.46980997187254
34.2,21.963255255325862,-103.44101812102518
34.2,21.963255255325862,-103.43621947921729
34.2,21.958631178436693,-103.44101812102518
34.2,21.958631178436693,-103.43621947921729
34.2,21.958631178436693,-103.4218235537936
37.4,21.954007101547525,-103.44101812102518
37.4,21.954007101547525,-103.43621947921729
37.4,21.949383024658356,-103.44101812102518
37.4,21.949383024658356,-103.43621947921729
37.4,21.944758947769188,-103.43621947921729
34.2,21.940134870880016,-103.43621947921729
34.2,21.93088671710168,-103.43621947921729
37.4,21.92626264021251,-103.43621947921729
37.4,21.92163856332334,-103.43621947921729
34.2,21.903142255766667,-103.4218235537936
34.2,21.898518178877495,-103.43621947921729
34.2,21.898518178877495,-103.40742762836993
37.4,21.88464594820999,-103.43621947921729
34.2,21.88464594820999,-103.4218235537936
34.2,21.870773717542484,-103.43621947921729
34.2,21.861525563764147,-103.43621947921729
34.2,21.852277409985806,-103.43621947921729
37.4,21.852277409985806,-103.4170249119857
34.2,21.847653333096638,-103.4170249119857
34.2,21.84302925620747,-103.43621947921729
34.2,21.84302925620747,-103.43142083740939
34.2,21.84302925620747,-103.4170249119857
34.2,21.833781102429132,-103.43142083740939
37.4,21.815284794872458,-103.4170249119857
34.2,21.810660717983286,-103.4170249119857
34.2,21.806036641094117,-103.40742762836993
37.4,21.79678848731578,-103.44101812102518
37.4,21.778292179759106,-103.44101812102518
34.2,21.778292179759106,-103.43142083740939
34.2,21.773668102869937,-103.4170249119857
37.4,21.76904402598077,-103.44101812102518
37.4,21.76904402598077,-103.43142083740939
34.2,21.76904402598077,-103.4170249119857
34.2,21.764419949091597,-103.43142083740939
34.2,21.759795872202428,-103.43142083740939
34.2,21.75517179531326,-103.44101812102518
37.4,21.745923641534922,-103.43142083740939
37.4,21.732051410867417,-103.43621947921729
34.2,21.732051410867417,-103.43142083740939
34.2,21.718179180199908,-103.4266221956015
37.4,21.704306949532402,-103.43621947921729
37.4,21.690434718864896,-103.4266221956015
34.2,21.68118656508656,-103.4266221956015
34.2,21.67193841130822,-103.43621947921729
34.2,21.67193841130822,-103.4266221956015
37.4,21.66731433441905,-103.4266221956015
34.2,21.66269025752988,-103.4266221956015
34.2,21.658066180640713,-103.43621947921729
37.4,21.644193949973207,-103.4266221956015
34.2,21.63956987308404,-103.4266221956015
34.2,21.634945796194867,-103.4266221956015
34.2,21.630321719305698,-103.4266221956015
34.2,21.62569764241653,-103.43142083740939
37.4,21.62107356552736,-103.43142083740939
37.4,21.62107356552736,-103.4266221956015
34.2,21.616449488638192,-102.50528296848591
34.2,21.602577257970687,-103.43142083740939
37.4,21.59332910419235,-103.43142083740939
34.2,21.588705027303178,-103.43142083740939
34.2,21.58408095041401,-103.44101812102518
34.2,21.574832796635672,-103.43142083740939
29.4,21.565584642857335,-103.44101812102518
34.2,21.53784018152232,-102.53887346114116
34.2,21.528592027743983,-103.43142083740939
34.2,21.528592027743983,-103.40742762836993
34.2,21.528592027743983,-102.54847074475695
34.2,21.523967950854814,-103.43142083740939
34.2,21.523967950854814,-103.4266221956015
34.2,21.523967950854814,-102.55326938656485
34.2,21.519343873965646,-103.4266221956015
29.4,21.514719797076477,-103.40742762836993
34.2,21.4962234895198,-103.4266221956015
29.4,21.49159941263063,-103.40262898656204
34.2,21.49159941263063,-102.591658521028
34.2,21.486975335741462,-102.62045037187536
29.4,21.482351258852294,-103.4266221956015
34.2,21.477727181963125,-103.4170249119857
34.2,21.477727181963125,-102.60605444645168
34.2,21.477727181963125,-102.30853865436227
29.4,21.468479028184788,-103.4266221956015
34.2,21.468479028184788,-103.4170249119857
34.2,21.468479028184788,-102.31813593797806
37.4,21.468479028184788,-102.31333729617016
34.2,21.46385495129562,-103.4170249119857
29.4,21.45460679751728,-103.43621947921729
34.2,21.45460679751728,-103.4170249119857
34.2,21.45460679751728,-103.40262898656204
34.2,21.44998272062811,-103.41222627017783
34.2,21.44998272062811,-103.40262898656204
34.2,21.44998272062811,-102.33733050520964
34.2,21.445358643738942,-103.4266221956015
29.4,21.445358643738942,-103.4170249119857
34.2,21.436110489960605,-103.4170249119857
29.4,21.436110489960605,-103.41222627017783
34.2,21.431486413071436,-103.4266221956015
34.2,21.431486413071436,-103.4170249119857
34.2,21.431486413071436,-102.60125580464378
37.4,21.426862336182268,-103.41222627017783
29.4,21.4222382592931,-103.4266221956015
34.2,21.4222382592931,-103.4218235537936
29.4,21.4222382592931,-103.4170249119857
34.2,21.4222382592931,-103.41222627017783
29.4,21.41761418240393,-103.4218235537936
29.4,21.41761418240393,-103.4170249119857
34.2,21.41761418240393,-103.41222627017783
34.2,21.41761418240393,-102.26535087809123
29.4,21.41299010551476,-103.4170249119857
34.2,21.40836602862559,-102.68763135718588
34.2,21.40836602862559,-102.60605444645168
29.4,21.40374195173642,-103.43142083740939
34.2,21.40374195173642,-103.4266221956015
34.2,21.40374195173642,-103.4170249119857
29.4,21.40374195173642,-103.41222627017783
34.2,21.40374195173642,-102.69242999899377
34.2,21.399117874847253,-103.4170249119857
34.2,21.394493797958084,-103.4218235537936
34.2,21.389869721068916,-102.62524901368326
34.2,21.385245644179747,-103.4218235537936
34.2,21.385245644179747,-103.40742762836993
34.2,21.385245644179747,-103.40262898656204
34.2,21.385245644179747,-102.63004765549115
37.4,21.385245644179747,-102.2029685345886
34.2,21.38062156729058,-103.41222627017783
29.4,21.38062156729058,-103.40742762836993
29.4,21.37599749040141,-103.4218235537936
29.4,21.37599749040141,-103.40742762836993
34.2,21.371373413512238,-103.41222627017783
29.4,21.371373413512238,-103.40262898656204
34.2,21.371373413512238,-102.64444358091482
34.2,21.371373413512238,-102.21736446001229
29.4,21.36674933662307,-103.41222627017783
34.2,21.36674933662307,-103.40262898656204
34.2,21.36674933662307,-102.64924222272272
34.2,21.36674933662307,-102.46209519221487
37.4,21.36674933662307,-102.23176038543598
34.2,21.36674933662307,-102.22696174362808
34.2,21.3621252597339,-103.41222627017783
29.4,21.3621252597339,-103.40742762836993
34.2,21.3621252597339,-102.65404086453061
34.2,21.3621252597339,-102.23176038543598
34.2,21.357501182844732,-103.41222627017783
29.4,21.357501182844732,-103.40742762836993
34.2,21.357501182844732,-102.17897532554915
34.2,21.352877105955564,-103.41222627017783
34.2,21.352877105955564,-103.40742762836993
34.2,21.348253029066395,-102.16937804193336
34.2,21.343628952177227,-103.41222627017783
29.4,21.343628952177227,-103.40742762836993
34.2,21.343628952177227,-102.49568568487012
34.2,21.343628952177227,-102.2029685345886
37.4,21.343628952177227,-102.18377396735704
37.4,21.343628952177227,-102.17897532554915
34.2,21.343628952177227,-102.17417668374125
34.2,21.339004875288058,-102.67803407357009
34.2,21.339004875288058,-102.27974680351491
34.2,21.339004875288058,-102.27014951989912
34.2,21.339004875288058,-102.26535087809123
34.2,21.339004875288058,-102.18857260916494
34.2,21.33438079839889,-103.41222627017783
29.4,21.33438079839889,-103.39783034475414
34.2,21.33438079839889,-102.68283271537798
34.2,21.33438079839889,-102.2845454453228
37.4,21.33438079839889,-102.19816989278071
34.2,21.329756721509717,-103.41222627017783
29.4,21.329756721509717,-103.14830097074366
34.2,21.329756721509717,-103.14350232893577
34.2,21.329756721509717,-103.13870368712787
29.4,21.329756721509717,-103.13390504531999
34.2,21.329756721509717,-102.68763135718588
34.2,21.329756721509717,-102.2941427289386
34.2,21.329756721509717,-102.2077671763965
34.2,21.329756721509717,-102.2029685345886
29.4,21.32513264462055,-103.41222627017783
29.4,21.32513264462055,-103.15309961255156
34.2,21.32513264462055,-103.14830097074366
34.2,21.32513264462055,-103.14350232893577
37.4,21.32513264462055,-103.13870368712787
37.4,21.32513264462055,-103.13390504531999
29.4,21.32513264462055,-103.1291064035121
34.2,21.32513264462055,-102.69722864080165
34.2,21.32513264462055,-102.69242999899377
34.2,21.32513264462055,-102.50528296848591
34.2,21.32513264462055,-102.29894137074649
34.2,21.32513264462055,-102.22216310182019
37.4,21.32513264462055,-102.21736446001229
34.2,21.32513264462055,-102.2125658182044
37.4,21.32513264462055,-102.2077671763965
29.4,21.32050856773138,-103.15309961255156
34.2,21.32050856773138,-103.14830097074366
37.4,21.32050856773138,-103.14350232893577
37.4,21.32050856773138,-103.13870368712787
37.4,21.32050856773138,-103.13390504531999
34.2,21.32050856773138,-103.1291064035121
29.4,21.32050856773138,-103.1243077617042
29.4,21.32050856773138,-102.74041641707271
34.2,21.32050856773138,-102.70202728260955
34.2,21.32050856773138,-102.69722864080165
34.2,21.32050856773138,-102.2941427289386
34.2,21.32050856773138,-102.23655902724387
34.2,21.32050856773138,-102.22696174362808
34.2,21.32050856773138,-102.22216310182019
34.2,21.32050856773138,-102.21736446001229
29.4,21.315884490842212,-103.15789825435945
29.4,21.315884490842212,-103.15309961255156
34.2,21.315884490842212,-103.14830097074366
37.4,21.315884490842212,-103.14350232893577
37.4,21.315884490842212,-103.13870368712787
37.4,21.315884490842212,-103.13390504531999
37.4,21.315884490842212,-103.1291064035121
29.4,21.315884490842212,-103.1243077617042
29.4,21.315884490842212,-102.74041641707271
